requirement,Component,Shape,Dimension,Color,Functionality,Domain,probable zone,css,type,Zone
A navigation menu should provide access to various system features.,Menu Bar,rectangular,80x300,black,,,navigation_zone,,Menu Bar_icon.png,
The system should provide a structured menu for configuration at the primary level.,notification_zone - Level 1,Square,300x500,black,,,navigation_zone,,notification_zone - Level 1_icon.png,
Users should be able to access deeper configuration options beyond the primary menu.,notification_zone - Level 2,Square,300x500,black,,,navigation_zone,,notification_zone - Level 2_icon.png,
Advanced settings should be available for specific feature customization.,notification_zone - Level 3,Square,300x500,black,,,navigation_zone,,notification_zone - Level 3_icon.png,
An additional layer of settings should be accessible for fine-tuning system functions.,notification_zone - Level 4,Square,300x500,black,,,navigation_zone,,notification_zone - Level 4_icon.png,
A display should indicate the status of adaptive cruise control.,Adaptive Cruise Control,rectangular,150x300,black,,,navigation_zone,,Adaptive Cruise Control_icon.png,
The system should provide alerts for potential forward collisions.,Forward Collision Warning Indication,Square,150x150,black,,,main_content_zone,".fcw-icon {
  position: relative;
  width: 120px;
  height: 80px;
}

/* Car shape */
.car {
  width: 60px;
  height: 30px;
  background-color: black;
  border-radius: 10px;
  position: absolute;
  left: 0;
  top: 25px;
}

/* Warning lines (simulating radar or alert effect) */
.warning-lines .line {
  display: block;
  width: 10px;
  height: 2px;
  background-color: black;
  position: absolute;
  left: 70px;
  top: 36px;
}

.warning-lines .one { transform: rotate(0deg) translateX(0); top: 26px; left: 70px; }
.warning-lines .two { transform: rotate(10deg) translateX(0); top: 36px; left: 75px; }
.warning-lines .three { transform: rotate(20deg) translateX(0); top: 46px; left: 80px; }

/* Impact burst or triangle warning */
.impact {
  position: absolute;
  width: 0;
  height: 0;
  border-left: 10px solid transparent;
  border-right: 10px solid transparent;
  border-bottom: 15px solid red;
  left: 95px;
  top: 30px;
}",Forward Collision Warning Indication_icon.png,
A visual cue should indicate the presence of a vehicle in the blind spot.,Blind Spot Indication,rectangular,150x300,black,,,main_content_zone,"{
  ""/* Container for the blind spot indication icon */"": {},
  "".blind-spot-icon"": {
    ""width"": ""64px"",
    ""height"": ""64px"",
    ""display"": ""flex"",
    ""justify-content"": ""center"",
    ""align-items"": ""center"",
    ""border"": ""2px solid black"",      /* Icon border */
    ""border-radius"": ""12px"",          /* Rounded edges */
    ""background-color"": ""white"",      /* Icon background */
    ""box-shadow"": ""2px 2px 6px rgba(0, 0, 0, 0.2)"" /* Subtle shadow */
  },

  ""/* Actual image inside the icon container */"": {},
  "".blind-spot-icon .icon"": {
    ""width"": ""100%"",
    ""height"": ""100%"",
    ""object-fit"": ""contain"",
    ""filter"": ""invert(0%)""            /* Keeps icon black on white bg */
  }
}",Blind Spot Indication_icon.png,
The interface should depict multiple lanes for better navigation and awareness.,Multilane highway display,rectangular,300x500,black,,,main_content_zone,,Multilane highway display_icon.png,
The system should indicate when lane-keeping assistance is active.,Lane Keep Assist,rectangular,150x300,black,,,main_content_zone,"{
  ""component"": ""LaneKeepAssistIcon"",
  ""style"": {
    ""position"": ""relative"",
    ""width"": ""120px"",
    ""height"": ""120px"",
    ""backgroundColor"": ""white"",
    ""display"": ""flex"",
    ""justifyContent"": ""center"",
    ""alignItems"": ""center""
  },
  ""elements"": {
    ""center-lane"": {
      ""position"": ""absolute"",
      ""width"": ""4px"",
      ""height"": ""100%"",
      ""backgroundColor"": ""black""
    },
    ""left-lane"": {
      ""position"": ""absolute"",
      ""left"": ""30px"",
      ""width"": ""4px"",
      ""height"": ""100%"",
      ""backgroundColor"": ""black"",
      ""transform"": ""skewY(10deg)""
    },
    ""right-lane"": {
      ""position"": ""absolute"",
      ""right"": ""30px"",
      ""width"": ""4px"",
      ""height"": ""100%"",
      ""backgroundColor"": ""black"",
      ""transform"": ""skewY(-10deg)""
    },
    ""car"": {
      ""position"": ""absolute"",
      ""width"": ""30px"",
      ""height"": ""40px"",
      ""border"": ""4px solid black"",
      ""borderRadius"": ""8px"",
      ""backgroundColor"": ""white""
    }
  }
}",Lane Keep Assist_icon.png,
A display should notify the user when lane change assistance is engaged.,Lane Change Assist,rectangular,150x300,black,,,main_content_zone,"{
  ""/* Container for the lane change assist icon */"": {},
  "".lane-change-icon"": {
    ""width"": ""64px"",
    ""height"": ""64px"",
    ""display"": ""flex"",
    ""justify-content"": ""center"",
    ""align-items"": ""center"",
    ""border"": ""2px solid black"",      /* Icon border */
    ""border-radius"": ""12px"",          /* Rounded edges */
    ""background-color"": ""white"",      /* Icon background */
    ""box-shadow"": ""2px 2px 6px rgba(0, 0, 0, 0.2)"" /* Subtle shadow */
  },

  ""/* Actual image inside the icon container */"": {},
  "".lane-change-icon .icon"": {
    ""width"": ""100%"",
    ""height"": ""100%"",
    ""object-fit"": ""contain"",
    ""filter"": ""invert(0%)""            /* Keeps icon black on white bg */
  }
}",Lane Change Assist_icon.png,
The interface should provide alerts when unintended lane departures occur.,Lane Departure Function Display,rectangular,150x300,black,,,main_content_zone,,Lane Departure Function Display_icon.png,
A system should monitor driver attentiveness and provide alerts when needed.,Driver Attention Assistance Alerts,rectangular,150x300,black,,,main_content_zone,,Driver Attention Assistance Alerts_icon.png,
An alert should indicate when autonomous emergency braking is engaged.,Autonomous Emergency Braking System,rectangular,150x300,black,,,main_content_zone,".aeb-telltale {
  width: 50px;
  height: 50px;
  background-color: white;
  border: 2px solid black; /* Outer circle border */
  border-radius: 50%; /* Circular shape */
  position: relative;
  display: flex;
  justify-content: center;
  align-items: center;
}

/* Car shape */
.aeb-telltale .car {
  width: 20px;
  height: 14px;
  background-color: black;
  position: relative;
  border-radius: 2px;
}

/* Car roof */
.aeb-telltale .car::before {
  content: """";
  position: absolute;
  top: -6px;
  left: 3px;
  width: 14px;
  height: 6px;
  background-color: black;
  border-radius: 2px 2px 0 0;
}

/* Car wheels */
.aeb-telltale .wheel-left,
.aeb-telltale .wheel-right {
  width: 4px;
  height: 4px;
  background-color: black;
  border-radius: 50%;
  position: absolute;
  bottom: -4px;
}

.aeb-telltale .wheel-left {
  left: 2px;
}

.aeb-telltale .wheel-right {
  right: 2px;
}

/* Alert lines */
.aeb-telltale .alert-left,
.aeb-telltale .alert-right {
  position: absolute;
  width: 10px;
  height: 2px;
  background-color: red;
  top: 15%;
}

.aeb-telltale .alert-left {
  left: -12px;
  transform: rotate(-30deg);
}

.aeb-telltale .alert-right {
  right: -12px;
  transform: rotate(30deg);
}",Autonomous Emergency Braking System_icon.png,
A visual indicator should confirm the activation of the defrosting system.,Window defrost indication,Square,100x100,black,,,main_content_zone,"{
  ""window-defrost-icon"": {
    ""position"": ""relative"",
    ""width"": ""60px"",
    ""height"": ""40px"",
    ""borderTop"": ""6px solid black"",
    ""borderLeft"": ""6px solid black"",
    ""borderRight"": ""6px solid black"",
    ""borderRadius"": ""0 0 60px 60px"",
    ""overflow"": ""hidden"",
    ""backgroundColor"": ""transparent""
  },
  ""defrost-arrow"": {
    ""position"": ""absolute"",
    ""bottom"": ""8px"",
    ""left"": ""50%"",
    ""width"": ""10px"",
    ""height"": ""20px"",
    ""backgroundColor"": ""black"",
    ""transform"": ""translateX(-50%) rotate(-30deg)""
  },
  ""defrost-arrow::before"": {
    ""content"": ""''"",
    ""position"": ""absolute"",
    ""top"": ""-6px"",
    ""left"": ""-5px"",
    ""width"": ""0"",
    ""height"": ""0"",
    ""borderLeft"": ""10px solid transparent"",
    ""borderRight"": ""10px solid transparent"",
    ""borderBottom"": ""10px solid black""
  },
  ""defrost-arrow-1"": {
    ""left"": ""20%""
  },
  ""defrost-arrow-2"": {
    ""left"": ""50%""
  },
  ""defrost-arrow-3"": {
    ""left"": ""80%""
  }
}",Window defrost indication_icon.png,
A warning should appear when brake lining wear is detected.,Brake lining indication,Square,100x100,black,,,main_content_zone,"{
  ""/* Container for the brake lining indication icon */"": {},
  "".brake-indicator-icon"": {
    ""width"": ""64px"",
    ""height"": ""64px"",
    ""display"": ""flex"",
    ""justify-content"": ""center"",
    ""align-items"": ""center"",
    ""border"": ""2px solid black"",      /* Icon border */
    ""border-radius"": ""12px"",          /* Rounded edges */
    ""background-color"": ""white"",      /* Icon background */
    ""box-shadow"": ""2px 2px 6px rgba(0, 0, 0, 0.2)"" /* Subtle shadow */
  },

  ""/* Actual image inside the icon container */"": {},
  "".brake-indicator-icon .icon"": {
    ""width"": ""100%"",
    ""height"": ""100%"",
    ""object-fit"": ""contain"",
    ""filter"": ""invert(0%)""            /* Keeps icon black on white bg */
  }
}",Brake lining indication_icon.png,
The interface should allow users to set and view adaptive cruise control speed.,ACC Speed setting,Square,100x100,black,,,main_content_zone,,ACC Speed setting_icon.png,
The system should provide a visual representation of detected objects on road lanes.,Objects display on lanes,rectangular,300x500,black,,,main_content_zone,,Objects display on lanes_icon.png,
Curved lane markings should be displayed dynamically for better navigation.,Lane with curve,rectangular,300x500,black,,,main_content_zone,,Lane with curve_icon.png,
A visual indicator should represent the Trailer Sway Assist system status.,TSA,rectangular,150x300,black,,,main_content_zone,,TSA_icon.png,
The system should display active Automatic Parking Assist functionality.,APA,rectangular,150x300,black,,,main_content_zone,,APA_icon.png,
Users should have the option to select from multiple 2D theme colors.,Multi color Themes (2D),rectangular,300x500,black,,,navigation_zone,,Multi color Themes (2D)_icon.png,
The system should support a variety of 3D theme color options.,Multi color Themes (3D),rectangular,300x500,black,,,navigation_zone,,Multi color Themes (3D)_icon.png,
Themes should automatically switch based on selected drive modes.,Drive mode based theme switch (3 Drive modes),Square,100x100,black,,,navigation_zone,,Drive mode based theme switch (3 Drive modes)_icon.png,
The display should automatically adjust based on ambient lighting conditions.,Day &Night mode,Square,100x100,black,,,navigation_zone,".day-night-icon {
  width: 120px;
  height: 120px;
  position: relative;
  background-color: white;
  border-radius: 50%;
  border: 10px solid black; /* Outer sun ring */
  box-sizing: border-box;
  display: flex;
  justify-content: center;
  align-items: center;
}

/* Moon shape - black crescent */
.day-night-icon::before {
  content: """";
  position: absolute;
  width: 60px;
  height: 60px;
  background-color: black;
  border-radius: 50%;
  left: 30px;
  top: 30px;
  z-index: 1;
}

.day-night-icon::after {
  content: """";
  position: absolute;
  width: 60px;
  height: 60px;
  background-color: white;
  border-radius: 50%;
  left: 40px;
  top: 30px;
  z-index: 2;
}

/* Sun rays */
.sun-ray {
  position: absolute;
  width: 10px;
  height: 30px;
  background-color: black;
  top: 0;
  left: 50%;
  transform: translateX(-50%);
  transform-origin: center bottom;
}

.sun-ray:nth-child(2) { transform: rotate(45deg) translateX(-50%); top: 10%; left: 80%; }
.sun-ray:nth-child(3) { transform: rotate(90deg) translateX(-50%); top: 50%; left: 100%; }
.sun-ray:nth-child(4) { transform: rotate(135deg) translateX(-50%); top: 80%; left: 80%; }
.sun-ray:nth-child(5) { transform: rotate(180deg) translateX(-50%); top: 100%; left: 50%; }
.sun-ray:nth-child(6) { transform: rotate(225deg) translateX(-50%); top: 80%; left: 20%; }
.sun-ray:nth-child(7) { transform: rotate(270deg) translateX(-50%); top: 50%; left: 0%; }
.sun-ray:nth-child(8) { transform: rotate(315deg) translateX(-50%); top: 10%; left: 20%; }",Day &Night mode_icon.png,
Users should be able to download and apply new themes.,Downloadable theme,Square,100x100,black,,,navigation_zone,,Downloadable theme_icon.png,
A graphical element should indicate directional orientation.,Compass,circular,300x300,black,,,main_content_zone,".compass {
  width: 300px;
  height: 300px;
  border-radius: 50%;
  background-color: white;
  border: 6px solid black;
  position: relative;
  display: flex;
  align-items: center;
  justify-content: center;
}

/* Outer Ring */
.compass::before {
  content: """";
  position: absolute;
  width: 90%;
  height: 90%;
  border-radius: 50%;
  border: 4px solid dimgray;
  box-sizing: border-box;
}

/* Direction Labels */
.direction {
  position: absolute;
  font-weight: bold;
  font-size: 18px;
  color: black;
}

.direction.n { top: 8px; left: 50%; transform: translateX(-50%); }
.direction.s { bottom: 8px; left: 50%; transform: translateX(-50%); }
.direction.e { right: 8px; top: 50%; transform: translateY(-50%); }
.direction.w { left: 8px; top: 50%; transform: translateY(-50%); }

/* Needles */
.needle {
  position: absolute;
  width: 4px;
  height: 45%;
  background-color: black;
  top: 50%;
  left: 50%;
  transform-origin: bottom center;
}

.needle.n { transform: translate(-50%, -100%) rotate(0deg); background-color: white; }
.needle.s { transform: translate(-50%, -100%) rotate(180deg); }
.needle.e { transform: translate(-50%, -100%) rotate(90deg); background-color: white; }
.needle.w { transform: translate(-50%, -100%) rotate(-90deg); }",Compass_icon.png,
The interface should display date-related information.,Calender,Square,300x300,black,,,main_content_zone,".calendar {
  width: 300px;
  height: 300px;
  background-color: white;
  border: 4px solid black;
  border-radius: 16px;
  position: relative;
  padding-top: 40px;
  box-sizing: border-box;
}

/* Top binding section (header area) */
.calendar::before {
  content: """";
  width: 100%;
  height: 40px;
  background-color: black;
  border-top-left-radius: 12px;
  border-top-right-radius: 12px;
  position: absolute;
  top: 0;
  left: 0;
}

/* Top rings */
.calendar .ring {
  width: 16px;
  height: 24px;
  background-color: white;
  border-radius: 8px;
  position: absolute;
  top: 8px;
}

.calendar .ring.left {
  left: 40px;
}

.calendar .ring.right {
  right: 40px;
}

/* Date grid */
.calendar .grid {
  display: grid;
  grid-template-columns: repeat(7, 1fr);
  grid-template-rows: repeat(5, 1fr);
  gap: 8px;
  padding: 16px;
}

.calendar .grid .day {
  width: 100%;
  aspect-ratio: 1 / 1;
  background-color: black;
  border-radius: 4px;
}",Calender_icon.png,
A visual representation should indicate real-time G-force exertion.,G-Force,circular,300x300,black,,,main_content_zone,,G-Force_icon.png,
The system should support multiple non-Arabic language options.,Languages (Non Arabic),rectangular,150x300,black,,,navigation_zone,"{
  ""component"": ""LanguagesIcon"",
  ""style"": {
    ""position"": ""relative"",
    ""width"": ""120px"",
    ""height"": ""80px"",
    ""display"": ""flex"",
    ""alignItems"": ""center"",
    ""justifyContent"": ""space-between"",
    ""backgroundColor"": ""white""
  },
  ""elements"": {
    ""left-bubble"": {
      ""position"": ""relative"",
      ""width"": ""50px"",
      ""height"": ""50px"",
      ""border"": ""4px solid black"",
      ""borderRadius"": ""8px"",
      ""display"": ""flex"",
      ""alignItems"": ""center"",
      ""justifyContent"": ""center"",
      ""fontWeight"": ""bold"",
      ""fontSize"": ""24px"",
      ""content"": ""'A'""
    },
    ""right-bubble"": {
      ""position"": ""relative"",
      ""width"": ""60px"",
      ""height"": ""60px"",
      ""border"": ""4px solid black"",
      ""borderRadius"": ""8px"",
      ""display"": ""flex"",
      ""alignItems"": ""center"",
      ""justifyContent"": ""center"",
      ""fontWeight"": ""bold"",
      ""fontSize"": ""24px"",
      ""content"": ""'?'""
    },
    ""arrow"": {
      ""position"": ""absolute"",
      ""bottom"": ""-12px"",
      ""left"": ""48px"",
      ""width"": ""20px"",
      ""height"": ""20px"",
      ""borderLeft"": ""4px solid black"",
      ""borderBottom"": ""4px solid black"",
      ""transform"": ""rotate(-45deg)""
    }
  }
}",Languages (Non Arabic)_icon.png,
The system should support Arabic language options.,Languages (Arabic),rectangular,150x300,black,,,navigation_zone,"{
  ""component"": ""LanguagesIcon"",
  ""style"": {
    ""position"": ""relative"",
    ""width"": ""120px"",
    ""height"": ""80px"",
    ""display"": ""flex"",
    ""alignItems"": ""center"",
    ""justifyContent"": ""space-between"",
    ""backgroundColor"": ""white""
  },
  ""elements"": {
    ""left-bubble"": {
      ""position"": ""relative"",
      ""width"": ""50px"",
      ""height"": ""50px"",
      ""border"": ""4px solid black"",
      ""borderRadius"": ""8px"",
      ""display"": ""flex"",
      ""alignItems"": ""center"",
      ""justifyContent"": ""center"",
      ""fontWeight"": ""bold"",
      ""fontSize"": ""24px"",
      ""content"": ""'A'""
    },
    ""right-bubble"": {
      ""position"": ""relative"",
      ""width"": ""60px"",
      ""height"": ""60px"",
      ""border"": ""4px solid black"",
      ""borderRadius"": ""8px"",
      ""display"": ""flex"",
      ""alignItems"": ""center"",
      ""justifyContent"": ""center"",
      ""fontWeight"": ""bold"",
      ""fontSize"": ""24px"",
      ""content"": ""'?'""
    },
    ""arrow"": {
      ""position"": ""absolute"",
      ""bottom"": ""-12px"",
      ""left"": ""48px"",
      ""width"": ""20px"",
      ""height"": ""20px"",
      ""borderLeft"": ""4px solid black"",
      ""borderBottom"": ""4px solid black"",
      ""transform"": ""rotate(-45deg)""
    }
  }
}",Languages (Arabic)_icon.png,
A self-check should be available to verify display functionality.,Display Test,rectangular,200x400,black,,,navigation_zone,,Display Test_icon.png,
The system should ensure synchronization between alerts and chime sounds.,Chime sync,rectangular,200x400,black,,,navigation_zone,,Chime sync_icon.png,
The system should accommodate additional vehicle variants.,Variant Handling (additionally 1 variant),rectangular,200x400,black,,,navigation_zone,,Variant Handling (additionally 1 variant)_icon.png,
The interface should reflect system states dynamically based on conditions.,State machine,Square,200x400,black,,,header_zone,,State machine_icon.png,
An engaging startup animation should appear upon system activation.,Welcome/Startup Animation,rectangular,300x500,black,,,main_content_zone,,Welcome/Startup Animation_icon.png,
A visual sequence should indicate system shutdown.,Shutdown/Goodbye animation,rectangular,300x500,black,,,main_content_zone,,Shutdown/Goodbye animation_icon.png,
Animated transitions should enhance menu navigation.,List Animations,Square,300x300,black,,,main_content_zone,,List Animations_icon.png,
Smooth transitions should be applied between different screens.,Screen Transistion animation,rectangular,300x500,black,,,main_content_zone,,Screen Transistion animation_icon.png,
An animation should indicate ignition activation or deactivation.,Ign on/off animation,circular,300x300,black,,,main_content_zone,,Ign on/off animation_icon.png,
The system should display a smooth and responsive gear animation whenever the gear is shifted.,Gear Animation,rectangular,200x400,black,,,main_content_zone,,Gear Animation_icon.png,
"The animation should visually represent the transition between gears, ensuring that users can easily understand the current gear position while maintaining a seamless user experience.",Gear Animation,rectangular,200x400,black,,,main_content_zone,,Gear Animation_icon.png,
The fuel gauge shall update dynamically based on sensor data from the fuel tank.,Fuel,circular,150x150,black,,,header_zone,".fuel-wrapper { 
  display: flex; 
  justify-content: center; 
  align-items: center; 
  width: 280px; 
  margin: auto; 
} 
 
.fuel-gauge { 
  position: relative; 
  width: 250px; 
  height: 130px; 
  border-top-left-radius: 125px; 
  border-top-right-radius: 125px; 
  background: transparent; 
  overflow: visible; 
} 
 
.ticks { 
  position: absolute; 
  top: 0; 
  left: 0; 
  width: 100%; 
  height: 100%; 
} 
 
.tick { 
  width: 3px; 
  height: 20px; 
  background-color: #333; 
  position: absolute; 
  top: 0; 
  left: 50%; 
  transform-origin: center bottom; 
} 
 
.needle { 
  width: 4px; 
  height: 100px; 
  background-color: #c40000; 
  position: absolute; 
  bottom: 0; 
  left: 50%; 
  transform-origin: bottom center; 
  transition: transform 0.4s ease-in-out; 
} 
 
.center-dot { 
  width: 20px; 
  height: 20px; 
  background-color: #333; 
  border-radius: 50%; 
  position: absolute; 
  bottom: 0; 
  left: calc(50% - 10px); 
} 
 
.label { 
  position: absolute; 
  font-weight: bold; 
  font-size: 20px; 
} 
 
.e-label { 
  bottom: 0; 
  left: 10px; 
  color: #b30000; 
} 
 
.f-label { 
  bottom: 0; 
  right: 10px; 
  color: #333; 
} 
 
.fuel-icon { 
  font-size: 20px; 
  position: absolute; 
  top: 35px; 
  left: 50%; 
 ",Fuel_icon.png,
The infotainment UI must provide a real-time video feed from the rear and surround cameras with a minimum resolution,camera ,circular,500x500,,,,main_content_zone,,,
"The infotainment system must display current weather conditions including temperature, humidity, and precipitation.",Weather,circular,300x300,,,,header_zone,,,
"The infotainment UI must include a dedicated section to display active warning lamps such as engine, tire pressure, or battery alerts",Warning lamps,Square,300x300,,,,header_zone,,,
"The infotainment UI must display the outside temperature in a consistent location, preferably near the clock or speedometer.",Temperature,Square,300x300,,,,footer_zone,,,
"The system must allow users to browse, preview, and play media files (images and videos) stored locally or on connected devices.",Gallery,Square,300x300,,,,main_content_zone,,,
"The infotainment UI must include a centralized settings menu to configure system, audio, display, and connectivity options",Settings,Square,300x300,,,,navigation_zone,,,
"The UI must display the vehicle�s current status, such as fuel level, battery charge, and system readiness, in a summarized view.",Status,circular,300x300,,,,main_content_zone,,,
"The infotainment system must include a notification center to list recent alerts, messages, and updates",Notifications,rectangular,100x500,,,,header_zone,,,
The UI should automatically switch to the rear camera view when the reverse gear is engaged.,camera ,circular,500x500,,,,main_content_zone,,,
The weather component should update in real-time based on the vehicle�s GPS location.,Weather,circular,300x300,,,,header_zone,,,
The warning lamp icons should remain visible or blink until the issue is resolved or acknowledged by the user.,Warning lamps,Square,300x300,,,,footer_zone,,,
"The temperature display should adapt its color or theme to reflect extreme weather conditions (e.g., red for hot, blue for cold).",Temperature,Square,300x300,,,,footer_zone,,,
The gallery should disable interaction while the vehicle is in motion to avoid driver distraction.,Gallery,Square,300x300,,,,main_content_zone,,,
"Frequently used settings (e.g., Bluetooth, brightness) should be accessible with fewer taps or via a quick access menu.",Settings,Square,300x300,,,,navigation_zone,,,
"Status indicators should use color-coded icons to signal normal (green), caution (yellow), or critical (red) conditions",Status,circular,300x300,,,,main_content_zone,,,
Notifications should appear non-intrusively and support quick dismissal or action,Notifications,rectangular,100x500,,,,header_zone,,,
The infotainment UI must provide a scrollable news feed with headlines and brief summaries from trusted sources.,News feed ,rectangular,100x500,,,,main_content_zone,,,
"The system must support playback of YouTube videos with basic controls like play, pause, seek, and volume adjustment.",YT Player,rectangular,300x600,,,,main_content_zone,,,
The news feed content should automatically pause or become audio-only when the vehicle is in motion to reduce driver distraction.,News feed ,rectangular,100x500,,,,header_zone,,,
The YouTube player interface should automatically switch to a minimal audio player layout when navigating away from the video screen,YT Player,rectangular,300x600,,,,main_content_zone,,,
The infotainment UI must provide a real-time video feed from the rear and surround cameras with a minimum resolution,camera ,oval,400x400,,,,main_content_zone,,,
"The infotainment system must display current weather conditions including temperature, humidity, and precipitation.",Weather,rectangular,100x300,,,,header_zone,,,
"The system must allow users to browse, preview, and play media files (images and videos) stored locally or on connected devices.",Gallery,rectangular,300x600,,,,main_content_zone,,,
"The UI must display the vehicle�s current status, such as fuel level, battery charge, and system readiness, in a summarized view.",Status,Square,300x300,,,,main_content_zone,,,
"The UI must display the vehicle�s current status, such as fuel level, battery charge, and system readiness, in a summarized view.",Status,rectangular,100x300,,,,main_content_zone,,,
"The infotainment system must include a notification center to list recent alerts, messages, and updates",Notifications,Square,300x300,,,,header_zone,,,
The infotainment UI must provide a scrollable news feed with headlines and brief summaries from trusted sources.,News feed ,rectangular,100x500,,,,header_zone,,,
